Location,Response,Male,Female
While at work,Always,0.77,0.8
While at work,Most of the time,0.09,0.05
While at work,Some of the time,0.03,0.03
While at work,Rarely,0.03,0.01
While at work,Never,0.08,0.12
While at work,Don't know,0.01,0
While at home,Always,0.76,0.82
While at home,Most of the time,0.13,0.1
While at home,Some of the time,0.04,0.04
While at home,Rarely,0.03,0.01
While at home,Never,0.03,0.02
While at home,Don't know,0.02,0.01
While out and about,Always,0.72,0.78
While out and about,Most of the time,0.11,0.07
While out and about,Some of the time,0.03,0.02
While out and about,Rarely,0.04,0.01
While out and about,Never,0.08,0.11
While out and about,Don't know,0.01,0.01
